ncessch,schnam,leanm,member,white,totfrl,lstree,lcity,lstate,lzip,coname,type,status,level,latitude,longitude,id,route_id,state_code,through_la,f_system_v,aadt_vn,distance,geom
110000500328,CESAR CHAVEZ PCS FOR PUBLIC POLICY-PARKSIDE HS,CESAR CHAVEZ PUBLIC PCS,305,1,302,3701 HAYNES ST NE,WASHINGTON,DC,20019,DISTRICT OF COLUMBIA,1,1,2,38.901300,-76.949100,1668,12051801,11,6,2,118753,245.17984495,0101000020E61000008D28ED0DBE3C53C041F163CC5D734340
110000500456,CESAR CHAVEZ FOR PUBLIC POLICY PARKSIDE MS PCS,CESAR CHAVEZ PUBLIC PCS,373,1,370,3701 HAYNES ST NE,WASHINGTON,DC,20019,DISTRICT OF COLUMBIA,1,1,3,38.901300,-76.949100,1668,12051801,11,6,2,118753,245.17984495,0101000020E61000008D28ED0DBE3C53C041F163CC5D734340
110000800338,FRIENDSHIP PCS WOODSON COLLEGIATE CAMPUS,FRIENDSHIP PCS,914,0,911,4095 MINNESOTA AVE NE,WASHINGTON,DC,20019,DISTRICT OF COLUMBIA,1,1,3,38.897500,-76.946300,1673,12051803,11,6,2,118753,211.74934851,0101000020E61000001B0DE02D903C53C07B14AE47E1724340
110000800480,FRIENDSHIP PCS CHAMBERLAIN ELEMENTARY,FRIENDSHIP PCS,509,0,506,1345 POTOMAC AVE SE,WASHINGTON,DC,20003,DISTRICT OF COLUMBIA,1,3,1,38.879300,-76.986700,2348,13069812,11,7,3,86701,148.43906052,0101000020E6100000A5BDC117263F53C0B8AF03E78C704340
110000800483,FRIENDSHIP PCS CHAMBERLAIN MIDDLE,FRIENDSHIP PCS,213,0,210,1345 POTOMAC AVE SE,WASHINGTON,DC,20003,DISTRICT OF COLUMBIA,1,3,2,38.879300,-76.986700,2348,13069812,11,7,3,86701,148.43906052,0101000020E6100000A5BDC117263F53C0B8AF03E78C704340
110001300227,IDEA PCS,IDEA PCS,199,0,196,1027 45TH ST NE,WASHINGTON,DC,20019,DISTRICT OF COLUMBIA,1,1,3,38.904500,-76.937000,1674,12051803,11,6,2,118753,277.94957577,0101000020E61000008716D9CEF73B53C0B29DEFA7C6734340
110002600240,WASHINGTON MATH SCIENCE TECH PCS,WASHINGTON MATH SCIENCE PCS,333,2,330,1920 BLADENSHURG RD NE,WASHINGTON,DC,20002,DISTRICT OF COLUMBIA,1,1,3,38.916400,-76.973600,1750,12064672,11,6,3,74616,144.10073139,0101000020E6100000AED85F764F3E53C0F7065F984C754340
110002900245,CEDAR TREE ACADEMY PCS,CEDAR TREE PCS,322,0,319,701 HOWARD RD SE,WASHINGTON,DC,20020,DISTRICT OF COLUMBIA,1,1,1,38.864200,-76.999000,2785,15048453,11,6,1,85651,109.64430512,0101000020E61000000E2DB29DEF3F53C0029A081B9E6E4340
110003000025,SAVOY ES,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,408,2,405,2400 SHANNON PLACESE,WASHINGTON,DC,20020,DISTRICT OF COLUMBIA,1,1,1,38.862700,-76.993700,2782,15048451,11,6,1,85651,155.74481671,0101000020E61000004182E2C7983F53C02D211FF46C6E4340
110003000041,LECKIE ES,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,374,34,371,4201 ML KING JR AVE SW,WASHINGTON,DC,20032,DISTRICT OF COLUMBIA,1,1,1,38.828200,-77.013300,2781,15048451,11,4,1,82624,260.5215617,0101000020E61000005B423EE8D94053C00B462575026A4340
110003000048,WATKINS ES CAPITOL HILL CLUSTER,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,545,111,542,420 12TH ST SE,WASHINGTON,DC,20003,DISTRICT OF COLUMBIA,1,1,1,38.883600,-76.989900,2348,13069812,11,7,3,86701,146.14150527,0101000020E6100000DE9387855A3F53C0705F07CE19714340
110003000070,WALKER JONES EC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,454,4,451,1125 NEW JERSEY AVE NW,WASHINGTON,DC,20001,DISTRICT OF COLUMBIA,1,1,1,38.904200,-77.013200,872,11064672,11,4,3,50799,173.31139466,0101000020E6100000A913D044D84053C088855AD3BC734340
110003000072,TYLER ES,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,507,69,504,1001 G ST SE,WASHINGTON,DC,20003,DISTRICT OF COLUMBIA,1,1,1,38.880800,-76.992300,2348,13069812,11,7,3,86701,226.23193682,0101000020E610000088F4DBD7813F53C08D28ED0DBE704340
110003000085,ANACOSTIA SHS,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,751,0,748,1601 16TH ST SE,WASHINGTON,DC,20020,DISTRICT OF COLUMBIA,1,1,3,38.870100,-76.983100,2059,13010403,11,4,2,52558,116.54277514,0101000020E6100000A52C431CEB3E53C0F31FD26F5F6F4340
110003000121,AMIDON BOWEN  ES,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,342,9,339,401 EYE ST SW,WASHINGTON,DC,20024,DISTRICT OF COLUMBIA,1,1,1,38.879800,-77.018100,2787,15048461,11,6,1,153755,281.62268972,0101000020E6100000B003E78C284153C0AA8251499D704340
110003000143,KRAMER MS,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,368,0,365,1700 Q ST SE,WASHINGTON,DC,20020,DISTRICT OF COLUMBIA,1,1,2,38.871300,-76.980200,2059,13010403,11,4,2,52558,136.05347636,0101000020E610000082E2C798BB3E53C09D8026C2866F4340
110003000144,JOHNSON JOHN HAYDEN MS,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,271,0,268,1400 BRUCE PLACESE,WASHINGTON,DC,20020,DISTRICT OF COLUMBIA,1,1,2,38.851300,-76.983700,2426,13083422,11,6,2,54529,193.02989942,0101000020E6100000D044D8F0F43E53C0DB8AFD65F76C4340
110003000296,YOUTH SERVICES CENTER,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,88,0,85,1000 MT OLIVET RD NE,WASHINGTON,DC,20003,DISTRICT OF COLUMBIA,4,1,3,38.912300,-76.988600,1749,12064672,11,6,3,68979,216.83551202,0101000020E6100000D734EF38453F53C00612143FC6744340
110003000453,JEFFERSON MIDDLE SCHOOL ACADEMY,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,299,1,296,801 7TH ST SW,WASHINGTON,DC,20024,DISTRICT OF COLUMBIA,1,8,2,38.879900,-77.022900,2787,15048461,11,6,1,153755,266.02308505,0101000020E610000005C58F31774153C00DE02D90A0704340
110003000470,MCKINLEY MIDDLE SCHOOL,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,193,0,190,1200 FIRST ST,WASHINGTON,DC,20002,DISTRICT OF COLUMBIA,1,3,2,38.906100,-77.006400,1748,12064672,11,6,3,51472,220.32753328,0101000020E610000071AC8BDB684053C0EB73B515FB734340
110003400249,THURGOOD MARSHALL ACADEMY PCS,THURGOOD MARSHALL ACADEMY PCS,399,0,396,2427 ML KING JR AVE SE,WASHINGTON,DC,20020,DISTRICT OF COLUMBIA,1,1,3,38.862300,-76.993800,2782,15048451,11,6,1,85651,193.5428675,0101000020E6100000F2B0506B9A3F53C09FABADD85F6E4340
110007300412,CENTER CITY CONGRESS HEIGHTS CAMPUS PCS,CENTER CITY PCS,227,0,224,220 HIGH VIEW PLACESE,WASHINGTON,DC,20032,DISTRICT OF COLUMBIA,1,1,1,38.841800,-77.004400,2782,15048451,11,6,1,85651,289.99022033,0101000020E61000008E06F016484053C0EBE2361AC06B4340
110007600408,EXCEL ACADEMY PCS,EXCEL ACADEMY PCS,617,0,614,2501 ML KING JR AVE SE,WASHINGTON,DC,20020,DISTRICT OF COLUMBIA,1,1,1,38.862200,-76.993600,2782,15048451,11,6,1,85651,210.27091006,0101000020E61000008F537424973F53C03C4ED1915C6E4340
120018000144,NORTH SIDE ELEMENTARY SCHOOL,BROWARD,450,12,444,120 NE 11TH ST,FORT LAUDERDALE,FL,33304,BROWARD COUNTY,1,1,1,26.138200,-80.143900,151410,86110000,12,6,3,52500,155.31730529,0101000020E61000003E7958A8350954C0A54E401361233A40
120018000152,WEST HOLLYWOOD ELEMENTARY SCHOOL,BROWARD,698,80,637,6301 HOLLYWOOD BLVD,HOLLYWOOD,FL,33024,BROWARD COUNTY,1,1,1,26.010300,-80.213800,152543,86470000,12,6,2,108000,76.54160721,0101000020E6100000A1F831E6AE0D54C018265305A3023A40
120018000185,TEDDER ELEMENTARY SCHOOL,BROWARD,699,29,676,4157 NE 1ST TER,POMPANO BEACH,FL,33064,BROWARD COUNTY,1,1,1,26.281400,-80.124300,149193,86070000,12,8,1,195961,72.04574622,0101000020E610000024B9FC87F40754C02B1895D409483A40
120018000189,SUNLAND PARK ELEMENTARY SCHOOL,BROWARD,353,8,347,919 NW 13TH TER,FORT LAUDERDALE,FL,33311,BROWARD COUNTY,1,1,1,26.135800,-80.159600,151398,86110000,12,6,3,60000,84.24631817,0101000020E6100000431CEBE2360A54C0FBCBEEC9C3223A40
120018000207,FLORANADA ELEMENTARY SCHOOL,BROWARD,748,405,383,5251 NE 14TH WAY,FORT LAUDERDALE,FL,33334,BROWARD COUNTY,1,1,1,26.191400,-80.128900,146932,86014000,12,6,3,57500,266.75202479,0101000020E6100000151DC9E53F0854C054742497FF303A40
120018000209,BRIGHT HORIZONS,BROWARD,143,51,90,3901 NE 1ST TER,POMPANO BEACH,FL,33064,BROWARD COUNTY,2,1,4,26.278700,-80.124200,149190,86070000,12,8,1,195961,79.1289136,0101000020E6100000728A8EE4F20754C02C6519E258473A40
120018000220,HENRY D. PERRY MIDDLE SCHOOL,BROWARD,620,17,535,3400 WILDCAT WAY,MIRAMAR,FL,33023,BROWARD COUNTY,1,1,2,25.979500,-80.227700,152493,86470000,12,6,2,98000,221.79476768,0101000020E6100000265305A3920E54C0986E1283C0FA3940
120018000223,LLOYD ESTATES ELEMENTARY SCHOOL,BROWARD,590,28,550,750 NW 41ST ST,OAKLAND PARK,FL,33309,BROWARD COUNTY,1,1,1,26.176500,-80.152700,149083,86070000,12,10,1,271000,238.48106154,0101000020E6100000598638D6C50954C077BE9F1A2F2D3A40
120018000228,NORTH FORK ELEMENTARY SCHOOL,BROWARD,556,10,549,101 NW 15TH AVE,FORT LAUDERDALE,FL,33311,BROWARD COUNTY,1,1,1,26.122900,-80.162700,146594,86006000,12,6,3,70000,110.49284916,0101000020E6100000CAC342AD690A54C0ACADD85F761F3A40
120018000230,PEMBROKE PINES ELEMENTARY SCHOOL,BROWARD,602,104,467,6700 SW 9TH ST,PEMBROKE PINES,FL,33023,BROWARD COUNTY,1,1,1,26.001200,-80.221200,152527,86470000,12,6,2,98000,224.60316093,0101000020E610000003780B24280E54C055C1A8A44E003A40
120018000239,LAUDERHILL MIDDLE SCHOOL,BROWARD,651,7,579,1901 NW 49TH AVE,LAUDERHILL,FL,33313,BROWARD COUNTY,1,1,2,26.149600,-80.217400,152687,86470000,12,8,2,98000,196.35527601,0101000020E6100000A089B0E1E90D54C04A7B832F4C263A40
120018000261,CRYSTAL LAKE COMMUNITY MIDDLE,BROWARD,1369,237,1108,3551 NE 3RD AVE,POMPANO BEACH,FL,33064,BROWARD COUNTY,1,1,2,26.272900,-80.118200,147600,86028000,12,6,3,50000,266.09267345,0101000020E6100000C898BB96900754C012143FC6DC453A40
120018000262,PINES MIDDLE SCHOOL,BROWARD,1358,121,969,200 NORTH DOUGLAS RD,PEMBROKE PINES,FL,33024,BROWARD COUNTY,1,1,2,26.011200,-80.265700,147980,86040000,12,6,3,51000,282.47684035,0101000020E610000005A3923A011154C017B7D100DE023A40
120018000272,SOUTH PLANTATION HIGH SCHOOL,BROWARD,2383,617,1524,1300 PALADIN WAY,PLANTATION,FL,33317,BROWARD COUNTY,1,1,3,26.103000,-80.220300,152636,86470000,12,8,2,99000,229.3667158,0101000020E6100000C3D32B65190E54C0EE7C3F355E1A3A40
120018000908,PINE RIDGE ALTERNATIVE CENTER,BROWARD,100,9,84,1251 SW 42ND AVE,FORT LAUDERDALE,FL,33317,BROWARD COUNTY,4,1,4,26.105300,-80.203600,151097,86100000,12,6,3,50500,235.97034061,0101000020E6100000CC5D4BC8070D54C0D044D8F0F41A3A40
120018002486,LANIER-JAMES EDUCATION CENTER,BROWARD,60,12,44,1050 NW 7TH CT,HALLANDALE BEACH,FL,33009,BROWARD COUNTY,4,1,4,25.993600,-80.164600,148875,86070000,12,10,1,244000,120.73597847,0101000020E6100000FB3A70CE880A54C03C4ED1915CFE3940
120018002721,MARJORY STONEMAN DOUGLAS HIGH SCHOOL,BROWARD,3038,1833,633,5901 PINE ISLAND RD,PARKLAND,FL,33076,BROWARD COUNTY,1,1,3,26.304500,-80.269400,153281,86472000,12,6,2,58000,280.74373393,0101000020E6100000B7627FD93D1154C0CBA145B6F34D3A40
120018002984,SILVER PALMS ELEMENTARY SCHOOL,BROWARD,651,158,199,1209 NW 155TH AVE,PEMBROKE PINES,FL,33028,BROWARD COUNTY,1,1,1,26.019000,-80.349100,149505,86075000,12,8,1,145000,270.11861186,0101000020E610000027C286A7571654C0BE9F1A2FDD043A40
120018003030,SAWGRASS SPRINGS MIDDLE SCHOOL,BROWARD,1179,440,588,12500 WEST SAMPLE RD,CORAL SPRINGS,FL,33065,BROWARD COUNTY,1,1,2,26.271100,-80.294900,153237,86472000,12,6,2,57000,165.17742367,0101000020E6100000C9E53FA4DF1254C013F241CF66453A40
120018003304,FOX TRAIL ELEMENTARY SCHOOL,BROWARD,1204,599,524,1250 SOUTH NOB HILL RD,DAVIE,FL,33324,BROWARD COUNTY,1,1,1,26.104300,-80.278900,150785,86095000,12,6,1,156000,177.35294725,0101000020E6100000AEB6627FD91154C009F9A067B31A3A40
120018003320,BROWARD DETENTION CENTER,BROWARD,92,6,89,222 NW 22ND AVE,FORT LAUDERDALE,FL,33311,BROWARD COUNTY,4,1,4,26.124400,-80.170800,149013,86070000,12,10,1,302000,197.19547049,0101000020E6100000098A1F63EE0A54C0569FABADD81F3A40
120018003324,AMIKIDS OF GREATER FORT LAUDERDALE,BROWARD,46,3,43,3220 SW 4TH AVE,FT LAUDERDALE,FL,33315,BROWARD COUNTY,4,1,4,26.083300,-80.145300,150909,86095000,12,8,1,90500,219.88772201,0101000020E6100000F7065F984C0954C0BEC1172653153A40
120018003820,WESTGLADES MIDDLE SCHOOL,BROWARD,1440,991,206,11000 HOLMBERG RD,CORAL SPRINGS,FL,33076,BROWARD COUNTY,1,1,2,26.304700,-80.273300,153279,86472000,12,6,2,58000,297.05618765,0101000020E6100000CC7F48BF7D1154C05917B7D1004E3A40
120018004037,CORAL GLADES HIGH SCHOOL,BROWARD,2416,807,1308,2700 SPORTSPLEX DR,CORAL SPRINGS,FL,33065,BROWARD COUNTY,1,1,3,26.263700,-80.294800,153229,86472000,12,6,2,57000,212.81163584,0101000020E610000017B7D100DE1254C088F4DBD781433A40
120018004467,SUNSHINE ELEMENTARY CHARTER SCHOOL,BROWARD,267,34,243,502 NORTH 28TH AVE,HOLLYWOOD,FL,33020,BROWARD COUNTY,1,1,1,26.015300,-80.164600,148897,86070000,12,10,1,273000,233.99508717,0101000020E6100000FB3A70CE880A54C0F9A067B3EA033A40
120018004469,BROWARD COMMUNITY CHARTER WEST,BROWARD,294,36,222,11421 NW 56TH DR,CORAL SPRINGS,FL,33076,BROWARD COUNTY,1,1,1,26.299800,-80.280200,153273,86472000,12,6,2,58000,259.84607398,0101000020E6100000B515FBCBEE1154C03F575BB1BF4C3A40
120018005426,GULFSTREAM MIDDLE SCHOOL,BROWARD,515,64,443,120 SW 4TH AVE,HALLANDALE BEACH,FL,33009,BROWARD COUNTY,1,1,2,25.983700,-80.152700,152043,86200000,12,6,3,66083,189.67921332,0101000020E6100000598638D6C50954C0401361C3D3FB3940
120018005460,PARAGON ACADEMY OF TECHNOLOGY,BROWARD,133,8,120,502 NORTH 28TH AVE,HOLLYWOOD,FL,33020,BROWARD COUNTY,1,1,2,26.015300,-80.164600,148897,86070000,12,10,1,273000,233.99508717,0101000020E6100000FB3A70CE880A54C0F9A067B3EA033A40
120018007265,DISCOVERY MIDDLE CHARTER SCHOOL,BROWARD,161,13,139,11421 NW 56TH DR,CORAL SPRINGS,FL,33076,BROWARD COUNTY,1,1,2,26.300500,-80.281900,153273,86472000,12,6,2,58000,283.18235977,0101000020E6100000832F4CA60A1254C0B0726891ED4C3A40
120018007386,IMAGINE CHARTER SCHOOL OF BROWARD,BROWARD,660,330,239,9001 WESTVIEW DR,CORAL SPRINGS,FL,33067,BROWARD COUNTY,1,1,1,26.299600,-80.247600,153300,86472000,12,6,2,71000,229.34157718,0101000020E6100000569FABADD80F54C0B1E1E995B24C3A40
120018007460,NORTH UNIVERSITY HIGH,BROWARD,384,49,244,4800 NORTH UNIVERSITY DR,LAUDERHILL,FL,33351,BROWARD COUNTY,4,1,3,26.183800,-80.251000,152308,86220000,12,6,3,59500,84.84409511,0101000020E6100000F2D24D62101054C03B014D840D2F3A40
120018007462,LAUDERHILL HIGH,BROWARD,512,6,460,4131 NW 16TH ST,LAUDERHILL,FL,33313,BROWARD COUNTY,4,1,3,26.147100,-80.205200,151132,86100000,12,6,3,52000,242.7471423,0101000020E6100000E9482EFF210D54C0D93D7958A8253A40
120018007490,DOLPHIN PARK HIGH,BROWARD,440,26,248,3206 SOUTH UNIVERSITY DR,MIRAMAR,FL,33025,BROWARD COUNTY,4,1,3,25.980600,-80.247200,152139,86220000,12,6,3,56000,4.33109677,0101000020E61000008FE4F21FD20F54C02575029A08FB3940
120018007497,CHARTER SCHOOL OF EXCELLENCE TAMARAC 2,BROWARD,226,18,172,7595 NW 61ST ST,TAMARAC,FL,33321,BROWARD COUNTY,1,1,1,26.199600,-80.250500,152320,86220000,12,6,3,53000,169.01620736,0101000020E610000079E92631081054C0174850FC18333A40
120018007582,CHARTER SCHOOL OF EXCELLENCE TAMARAC 1,BROWARD,245,21,195,7595 NW 61ST ST,TAMARAC,FL,33321,BROWARD COUNTY,1,1,1,26.199600,-80.250500,152320,86220000,12,6,3,53000,169.01620736,0101000020E610000079E92631081054C0174850FC18333A40
120018007881,IMAGINE MIDDLE SCHOOL AT BROWARD,BROWARD,200,92,95,9001 WESTVIEW DR,CORAL SPRINGS,FL,33067,BROWARD COUNTY,1,1,2,26.299900,-80.247600,153300,86472000,12,6,2,71000,196.10842523,0101000020E6100000569FABADD80F54C00612143FC64C3A40
120018007904,MAVERICKS HIGH OF NORTH BROWARD COUNTY,BROWARD,403,72,310,3500 NORTH ANDREWS AVE EXT,POMPANO BEACH,FL,33064,BROWARD COUNTY,4,1,3,26.273400,-80.135100,147586,86028000,12,7,3,58000,190.02892198,0101000020E6100000226C787AA50854C0F5B9DA8AFD453A40
120018007917,MAVERICKS HIGH OF CENTRAL BROWARD COUNTY,BROWARD,368,14,295,424 WEST SUNRISE BLVD,FT LAUDERDALE,FL,33311,BROWARD COUNTY,4,1,3,26.136400,-80.148700,151406,86110000,12,6,3,52500,33.0069855,0101000020E6100000933A014D840954C0A52C431CEB223A40
120018008087,SUNED HIGH SCHOOL,BROWARD,465,19,354,2360 WEST OAKLAND PARK BLVD,OAKLAND PARK,FL,33311,BROWARD COUNTY,1,1,3,26.165100,-80.174500,150664,86090000,12,6,3,54500,42.29050778,0101000020E6100000BA490C022B0B54C0D1915CFE432A3A40
120018008151,ATLANTIC MONTESSORI CHARTER SCHOOL,BROWARD,129,12,26,9893 PINES BLVD,PEMBROKE PINES,FL,33024,BROWARD COUNTY,1,1,1,26.008400,-80.276600,147971,86040000,12,7,3,51000,213.08056335,0101000020E6100000B6847CD0B31154C052499D8026023A40
120018008210,POSTSECONDARY ALTERNATIVES FOR SECONDARY STUDENTS-,BROWARD,13,1,10,2104 WEST COMMERCIAL BLVD,FT LAUDERDALE,FL,33309,BROWARD COUNTY,2,1,3,26.187200,-80.171800,146901,86014000,12,6,3,56000,105.73723732,0101000020E6100000FB5C6DC5FE0A54C0ABCFD556EC2F3A40
120030000323,ORANGE PARK HIGH SCHOOL,CLAY,1594,872,733,2300 KINGSLEY AVE,ORANGE PARK,FL,32073,CLAY COUNTY,1,1,3,30.163300,-81.745500,113064,71070000,12,6,3,68500,189.84172819,0101000020E6100000C1CAA145B66F54C0D26F5F07CE293E40
120030007670,CLAY VIRTUAL INSTRUCTION PROGRAM,CLAY,7,5,1,2306 KINGSLEY AVE,ORANGE PARK,FL,32073,CLAY COUNTY,1,1,4,30.164500,-81.745300,113066,71070000,12,6,3,68500,216.29844434,0101000020E61000005D6DC5FEB26F54C0273108AC1C2A3E40
120030007967,CLAY VIRTUAL ACADEMY,CLAY,285,217,77,2306 KINGSLEY AVE,ORANGE PARK,FL,32073,CLAY COUNTY,1,1,4,30.164500,-81.745300,113066,71070000,12,6,3,68500,216.29844434,0101000020E61000005D6DC5FEB26F54C0273108AC1C2A3E40
120039000377,BISCAYNE GARDENS ELEMENTARY,DADE,681,12,581,560 NW 151ST ST,MIAMI,FL,33169,MIAMI-DADE COUNTY,1,1,1,25.912700,-80.209000,163467,87270000,12,7,1,225000,93.31372861,0101000020E61000004C378941600D54C0280F0BB5A6E93940
120039000405,FREDERICK R. DOUGLASS ELEMENTARY,DADE,270,2,265,314 NW 12TH ST,MIAMI,FL,33136,MIAMI-DADE COUNTY,1,1,1,25.785300,-80.200300,163286,87270000,12,7,1,163000,138.38484677,0101000020E6100000E25817B7D10C54C07E8CB96B09C93940
120039000407,PAUL LAURENCE DUNBAR K-8 CENTER,DADE,376,5,356,505 NW 20TH ST,MIAMI,FL,33127,MIAMI-DADE COUNTY,1,1,1,25.795700,-80.203100,163303,87270000,12,10,1,220000,222.31277751,0101000020E610000054742497FF0C54C05D6DC5FEB2CB3940
120039000411,EDISON PARK K-8 CENTER,DADE,459,4,446,500 NW 67TH ST,MIAMI,FL,33150,MIAMI-DADE COUNTY,1,1,1,25.835900,-80.204700,163357,87270000,12,8,1,203500,119.40332293,0101000020E6100000705F07CE190D54C0F5B9DA8AFDD53940
120039000417,FLAGAMI ELEMENTARY SCHOOL,DADE,462,5,407,920 SW 76TH AVE,MIAMI,FL,33144,MIAMI-DADE COUNTY,1,1,1,25.760300,-80.318600,162742,87260000,12,10,2,212000,249.38446118,0101000020E61000005C2041F1631454C018265305A3C23940
120039000424,FULFORD ELEMENTARY SCHOOL,DADE,574,6,532,16140 NE 18TH AVE,NORTH MIAMI BEACH,FL,33162,MIAMI-DADE COUNTY,1,1,1,25.923500,-80.164900,161732,87170000,12,6,3,60500,265.22643619,0101000020E610000011C7BAB88D0A54C023DBF97E6AEC3940
120039000426,GOLDEN GLADES ELEMENTARY SCHOOL,DADE,277,1,263,16520 NW 28TH AVE,OPA LOCKA,FL,33054,MIAMI-DADE COUNTY,1,1,1,25.925100,-80.247100,163020,87260000,12,6,2,147000,285.18711101,0101000020E6100000DDB5847CD00F54C09487855AD3EC3940
120039000446,KINLOCH PARK ELEMENTARY SCHOOL,DADE,767,5,709,4275 NW 1ST ST,MIAMI,FL,33126,MIAMI-DADE COUNTY,1,1,1,25.773000,-80.265200,163706,87281000,12,6,3,57500,147.26685038,0101000020E61000008CB96B09F91054C0D9CEF753E3C53940
120039000454,"JESSE J. MCCRARY, JR. ELEMENTARY SCHOOL",DADE,642,3,628,514 NW 77TH ST,MIAMI,FL,33150,MIAMI-DADE COUNTY,1,1,1,25.845000,-80.205300,163369,87270000,12,8,1,203500,157.0566765,0101000020E61000009A779CA2230D54C0B81E85EB51D83940
120039000458,MEADOWLANE ELEMENTARY SCHOOL,DADE,1001,12,908,4280 WEST 8TH AVE,HIALEAH,FL,33012,MIAMI-DADE COUNTY,1,1,1,25.861900,-80.299100,154713,87000233,12,4,5,51000,42.81172657,0101000020E6100000F38E5374241354C0226C787AA5DC3940
120039000462,MIAMI HEIGHTS ELEMENTARY SCHOOL,DADE,1179,22,1056,17661 SW 117TH AVE,MIAMI,FL,33177,MIAMI-DADE COUNTY,1,1,1,25.603900,-80.380300,164239,87471000,12,8,2,138000,245.25404976,0101000020E6100000CEAACFD5561854C0ED0DBE30999A3940
120039000466,MIAMI SPRINGS ELEMENTARY SCHOOL,DADE,517,44,373,51 PARK ST,MIAMI SPRINGS,FL,33166,MIAMI-DADE COUNTY,1,1,1,25.823000,-80.284700,160171,87090000,12,6,3,55000,245.4006207,0101000020E6100000F54A5986381254C0A69BC420B0D23940
120039000481,NORWOOD ELEMENTARY SCHOOL,DADE,538,4,453,19810 NW 14TH CT,MIAMI,FL,33169,MIAMI-DADE COUNTY,1,1,1,25.955100,-80.227600,163983,87470000,12,8,2,73000,148.31509729,0101000020E6100000742497FF900E54C0DC68006F81F43940
120039000483,OJUS ELEMENTARY SCHOOL,DADE,950,119,741,18600 WEST DIXIE HWY,MIAMI,FL,33180,MIAMI-DADE COUNTY,1,1,1,25.948400,-80.149800,157616,87030000,12,8,3,74500,295.72981713,0101000020E6100000363CBD52960954C0C286A757CAF23940
120039000485,OLYMPIA HEIGHTS ELEMENTARY SCHOOL,DADE,529,10,481,9797 SW 40TH ST,MIAMI,FL,33165,MIAMI-DADE COUNTY,1,1,1,25.733600,-80.352800,157985,87044000,12,6,3,55500,152.02448824,0101000020E6100000D8817346941654C07958A835CDBB3940
120039000493,PARKWAY ELEMENTARY SCHOOL,DADE,394,1,376,1320 NW 188TH ST,MIAMI,FL,33169,MIAMI-DADE COUNTY,1,1,1,25.945200,-80.224700,163972,87470000,12,9,2,73000,188.54858861,0101000020E610000051DA1B7C610E54C0E02D90A0F8F13940
120039000511,SEMINOLE ELEMENTARY SCHOOL,DADE,577,17,496,121 SW 78TH PLACE,MIAMI,FL,33144,MIAMI-DADE COUNTY,1,1,1,25.768800,-80.322900,162758,87260000,12,9,2,189000,276.29000858,0101000020E610000038F8C264AA1454C0302AA913D0C43940
120039000514,SILVER BLUFF ELEMENTARY SCHOOL,DADE,553,10,455,2609 SW 25TH AVE,MIAMI,FL,33133,MIAMI-DADE COUNTY,1,1,1,25.743500,-80.234900,157375,87030000,12,6,3,83000,255.18179292,0101000020E61000002575029A080F54C07593180456BE3940
120039000528,FRANCES S. TUCKER ELEMENTARY SCHOOL,DADE,420,11,389,3500 SOUTH DOUGLAS RD,MIAMI,FL,33133,MIAMI-DADE COUNTY,1,1,1,25.735500,-80.254500,157344,87030000,12,6,3,85000,263.06033869,0101000020E61000003F355EBA491054C03F355EBA49BC3940
120039000546,GEORGE WASHINGTON CARVER MIDDLE SCHOOL,DADE,963,338,255,4901 LINCOLN DR,CORAL GABLES,FL,33133,MIAMI-DADE COUNTY,1,1,2,25.727200,-80.259000,157337,87030000,12,6,3,85000,100.3960293,0101000020E61000007F6ABC74931054C0B5A679C729BA3940
120039000555,HIGHLAND OAKS MIDDLE SCHOOL,DADE,1216,233,855,2375 NE 203RD ST,MIAMI,FL,33180,MIAMI-DADE COUNTY,1,1,2,25.964200,-80.154600,154454,87000169,12,6,4,64000,120.79577693,0101000020E61000008BFD65F7E40954C09FCDAACFD5F63940
120039000557,THOMAS JEFFERSON MIDDLE SCHOOL,DADE,368,9,338,525 NW 147TH ST,MIAMI,FL,33168,MIAMI-DADE COUNTY,1,1,2,25.910200,-80.208600,163462,87270000,12,8,1,225000,267.25610471,0101000020E6100000857CD0B3590D54C0B7D100DE02E93940
120039000559,KINLOCH PARK MIDDLE SCHOOL,DADE,1197,19,1132,4340 NW 3RD ST,MIAMI,FL,33126,MIAMI-DADE COUNTY,1,1,2,25.772700,-80.266500,163706,87281000,12,6,3,57500,279.08793593,0101000020E6100000931804560E1154C0849ECDAACFC53940
120039000569,MIAMI SPRINGS MIDDLE SCHOOL,DADE,1468,40,1302,150 SOUTH ROYAL POINCIANA BLVD,MIAMI SPRINGS,FL,33166,MIAMI-DADE COUNTY,1,1,2,25.815000,-80.274000,160180,87090000,12,6,3,55000,249.03925482,0101000020E6100000A8C64B37891154C0713D0AD7A3D03940
